Fe_pred,S_pred,Cu_pred,MET_pred
11.73,2.41,0.05,0.32
10.92,2.17,0.04,0.33
10.93,2.16,0.04,0.33
10.93,2.15,0.04,0.33
10.93,2.14,0.04,0.33
10.94,2.13,0.04,0.33
10.94,2.13,0.04,0.33
10.95,2.11,0.04,0.33
9.98,1.97,0.03,0.34
9.98,1.97,0.03,0.35
9.61,1.88,0.03,0.35
8.43,1.75,0.02,0.36
8.43,1.74,0.02,0.36
8.43,1.73,0.02,0.36
8.42,1.71,0.02,0.37
8.2,1.72,0.02,0.37
58.16,3.1,0.1,0.09
57.28,3.12,0.1,0.1
57.28,3.14,0.1,0.1
57.28,3.15,0.1,0.1
57.26,3.16,0.1,0.1
57.09,3.16,0.1,0.1
57.08,3.18,0.1,0.1
57.06,3.19,0.1,0.1
56.8,3.18,0.1,0.1
56.79,3.19,0.1,0.1
56.78,3.2,0.1,0.1
56.77,3.21,0.1,0.1
56.73,3.22,0.1,0.1
56.67,3.23,0.1,0.1
56.66,3.23,0.1,0.1
56.6,3.24,0.1,0.1
56.63,3.23,0.1,0.1
56.58,3.24,0.1,0.1
60.17,3.29,0.1,0.09
60.16,3.31,0.1,0.09
60.16,3.34,0.1,0.09
60.21,3.33,0.1,0.09
60.2,3.35,0.1,0.09
60.0,3.33,0.1,0.09
59.99,3.35,0.1,0.09
57.54,3.42,0.11,0.1
53.8,3.3,0.11,0.12
57.34,3.48,0.12,0.1
55.65,3.48,0.12,0.11
55.65,3.5,0.12,0.11
55.65,3.52,0.12,0.11
55.65,3.54,0.12,0.11
55.66,3.56,0.12,0.11
55.69,3.58,0.12,0.11
55.73,3.6,0.12,0.11
56.72,3.66,0.12,0.1
54.57,3.64,0.11,0.11
48.38,3.46,0.1,0.13
48.45,3.49,0.11,0.13
18.69,2.65,0.1,0.25
15.47,2.8,0.09,0.28
15.44,2.78,0.09,0.28
15.41,2.76,0.09,0.28
15.37,2.75,0.09,0.28
11.65,2.45,0.05,0.32
11.66,2.44,0.05,0.32
11.66,2.43,0.05,0.32
11.67,2.42,0.05,0.32
11.68,2.41,0.05,0.32
11.68,2.4,0.05,0.32
10.9,2.15,0.04,0.33
10.9,2.14,0.04,0.33
10.91,2.13,0.04,0.33
10.91,2.12,0.04,0.33
10.92,2.12,0.04,0.33
10.92,2.11,0.04,0.33
10.92,2.1,0.04,0.33
9.95,1.96,0.03,0.35
9.58,1.87,0.03,0.35
8.45,1.76,0.02,0.36
8.43,1.75,0.02,0.36
8.43,1.74,0.02,0.37
8.43,1.72,0.02,0.37
8.21,1.73,0.02,0.37
7.99,1.75,0.02,0.37
58.1,3.08,0.1,0.09
58.11,3.1,0.1,0.09
58.1,3.11,0.1,0.09
57.21,3.13,0.1,0.1
57.19,3.14,0.1,0.1
57.17,3.16,0.1,0.1
57.14,3.17,0.1,0.1
57.02,3.17,0.1,0.1
57.01,3.18,0.1,0.1
57.0,3.19,0.1,0.1
56.73,3.19,0.1,0.1
56.73,3.2,0.1,0.1
56.7,3.21,0.1,0.1
56.65,3.22,0.1,0.1
56.6,3.22,0.1,0.1
56.59,3.22,0.1,0.1
56.53,3.23,0.1,0.1
56.56,3.23,0.1,0.1
56.52,3.24,0.1,0.1
56.48,3.25,0.1,0.1
60.19,3.32,0.1,0.09
60.18,3.34,0.1,0.09
60.22,3.33,0.1,0.08
60.2,3.36,0.1,0.09
60.17,3.38,0.1,0.09
60.0,3.35,0.1,0.09
55.03,3.36,0.11,0.11
54.64,3.38,0.11,0.11
55.64,3.47,0.12,0.11
55.63,3.49,0.12,0.11
55.64,3.51,0.12,0.11
55.64,3.53,0.12,0.11
55.66,3.56,0.12,0.11
55.68,3.58,0.12,0.11
54.48,3.6,0.11,0.11
48.22,3.42,0.1,0.13
48.29,3.45,0.1,0.13
48.37,3.48,0.1,0.13
48.45,3.5,0.11,0.13
15.31,2.8,0.09,0.28
15.28,2.78,0.09,0.28
15.24,2.76,0.09,0.28
11.59,2.46,0.05,0.32
11.6,2.45,0.05,0.32
11.61,2.44,0.05,0.32
11.61,2.43,0.05,0.32
11.62,2.42,0.05,0.32
11.62,2.41,0.05,0.32
11.63,2.4,0.05,0.32
10.87,2.14,0.04,0.33
10.88,2.13,0.04,0.33
10.88,2.12,0.04,0.33
10.88,2.11,0.04,0.33
10.88,2.11,0.04,0.33
10.89,2.1,0.04,0.33
10.89,2.09,0.04,0.33
9.93,1.95,0.03,0.35
9.55,1.86,0.03,0.35
8.45,1.77,0.02,0.37
8.44,1.76,0.02,0.37
8.44,1.74,0.02,0.37
8.43,1.73,0.02,0.37
8.22,1.73,0.02,0.37
8.2,1.71,0.02,0.37
7.99,1.74,0.02,0.37
57.9,3.09,0.11,0.1
57.87,3.1,0.11,0.1
58.04,3.09,0.1,0.09
58.03,3.1,0.1,0.09
57.12,3.13,0.1,0.1
57.12,3.14,0.1,0.1
57.1,3.15,0.1,0.1
57.07,3.16,0.1,0.1
56.96,3.16,0.1,0.1
56.96,3.18,0.1,0.1
56.95,3.19,0.1,0.1
56.68,3.18,0.1,0.1
56.66,3.19,0.1,0.1
56.63,3.2,0.1,0.1
56.58,3.21,0.1,0.1
56.53,3.22,0.1,0.1
56.47,3.23,0.1,0.1
56.46,3.22,0.1,0.1
56.41,3.23,0.1,0.1
56.46,3.24,0.1,0.1
56.42,3.25,0.1,0.1
60.19,3.32,0.1,0.09
60.16,3.34,0.1,0.09
60.15,3.37,0.1,0.09
60.18,3.36,0.1,0.09
60.16,3.38,0.1,0.09
58.35,3.38,0.11,0.09
54.96,3.37,0.11,0.11
56.28,3.47,0.12,0.11
55.62,3.49,0.12,0.11
55.63,3.51,0.12,0.11
55.64,3.53,0.12,0.11
54.44,3.55,0.11,0.11
54.46,3.58,0.11,0.11
48.12,3.4,0.1,0.13
48.2,3.43,0.1,0.13
48.28,3.46,0.1,0.13
48.36,3.49,0.11,0.13
41.92,3.32,0.12,0.16
15.12,2.78,0.09,0.28
15.08,2.76,0.09,0.28
11.54,2.46,0.05,0.32
11.55,2.45,0.05,0.32
11.55,2.44,0.05,0.32
11.56,2.43,0.05,0.32
11.57,2.42,0.05,0.32
11.58,2.41,0.05,0.32
11.58,2.4,0.05,0.32
11.59,2.39,0.05,0.32
10.85,2.12,0.04,0.33
10.85,2.11,0.04,0.33
10.86,2.1,0.04,0.33
10.86,2.1,0.04,0.33
10.87,2.09,0.04,0.34
10.87,2.08,0.04,0.34
9.86,1.95,0.04,0.35
9.86,1.94,0.04,0.35
9.53,1.84,0.03,0.35
8.45,1.77,0.02,0.37
8.44,1.75,0.02,0.37
8.43,1.73,0.02,0.37
8.21,1.74,0.02,0.37
8.2,1.72,0.02,0.37
7.99,1.75,0.02,0.38
7.98,1.73,0.02,0.38
57.78,3.1,0.11,0.1
57.8,3.08,0.11,0.1
57.75,3.09,0.11,0.1
57.97,3.09,0.1,0.09
57.94,3.1,0.1,0.09
57.95,3.11,0.1,0.09
57.06,3.13,0.1,0.1
57.03,3.14,0.1,0.1
57.0,3.15,0.1,0.1
56.97,3.17,0.1,0.1
56.9,3.17,0.1,0.1
56.89,3.18,0.1,0.1
56.87,3.19,0.1,0.1
56.59,3.18,0.1,0.1
56.54,3.19,0.1,0.1
56.5,3.2,0.1,0.1
56.45,3.21,0.1,0.1
56.41,3.22,0.1,0.1
56.39,3.22,0.1,0.1
56.35,3.23,0.1,0.1
56.39,3.24,0.1,0.1
56.34,3.25,0.1,0.1
56.3,3.26,0.1,0.1
60.15,3.34,0.1,0.09
60.13,3.37,0.1,0.09
60.18,3.36,0.1,0.09
60.17,3.38,0.1,0.08
55.7,3.41,0.11,0.11
54.91,3.39,0.11,0.11
56.3,3.49,0.12,0.11
56.65,3.54,0.12,0.1
54.42,3.52,0.11,0.11
47.97,3.36,0.1,0.13
48.04,3.38,0.1,0.13
48.12,3.41,0.1,0.13
48.2,3.44,0.1,0.13
42.04,3.21,0.12,0.16
43.16,3.5,0.11,0.15
42.18,3.84,0.14,0.17
14.92,2.76,0.09,0.28
11.49,2.46,0.05,0.32
11.5,2.46,0.05,0.32
11.51,2.44,0.05,0.32
11.51,2.43,0.05,0.32
11.52,2.42,0.05,0.32
11.53,2.41,0.05,0.32
11.54,2.4,0.05,0.32
11.54,2.4,0.05,0.32
10.83,2.11,0.04,0.34
10.83,2.11,0.04,0.34
10.83,2.1,0.04,0.34
10.84,2.09,0.04,0.34
10.84,2.08,0.04,0.34
10.84,2.07,0.04,0.34
10.85,2.06,0.04,0.34
9.83,1.93,0.04,0.35
9.5,1.83,0.03,0.35
8.45,1.77,0.02,0.37
8.44,1.76,0.02,0.37
8.44,1.74,0.02,0.37
8.21,1.75,0.02,0.37
8.21,1.73,0.02,0.37
7.99,1.76,0.02,0.38
7.98,1.74,0.02,0.38
7.34,1.85,0.01,0.39
57.74,3.08,0.11,0.1
57.69,3.09,0.11,0.1
57.69,3.08,0.1,0.1
57.64,3.09,0.1,0.1
57.61,3.1,0.1,0.1
57.9,3.09,0.1,0.09
57.9,3.11,0.1,0.09
57.9,3.12,0.1,0.1
56.95,3.14,0.1,0.1
56.92,3.15,0.1,0.1
56.89,3.16,0.1,0.1
56.86,3.17,0.1,0.1
56.84,3.17,0.1,0.1
56.8,3.18,0.1,0.1
56.51,3.18,0.1,0.1
56.47,3.19,0.1,0.1
56.43,3.2,0.1,0.1
56.38,3.21,0.1,0.1
56.34,3.22,0.1,0.1
56.3,3.23,0.1,0.1
56.28,3.23,0.1,0.1
56.23,3.24,0.1,0.1
56.27,3.25,0.1,0.1
56.23,3.26,0.1,0.1
60.14,3.35,0.1,0.09
60.13,3.37,0.1,0.08
60.13,3.39,0.1,0.08
60.19,3.39,0.1,0.08
55.64,3.42,0.11,0.11
52.88,3.31,0.11,0.12
54.41,3.5,0.11,0.11
47.88,3.34,0.1,0.14
47.96,3.36,0.1,0.14
48.04,3.39,0.1,0.13
48.11,3.42,0.1,0.13
42.63,3.4,0.11,0.15
42.78,3.7,0.12,0.16
42.17,3.83,0.14,0.18
14.69,2.75,0.09,0.28
11.44,2.47,0.05,0.32
11.45,2.46,0.05,0.32
11.46,2.45,0.05,0.32
11.46,2.44,0.05,0.32
11.47,2.43,0.05,0.32
11.48,2.42,0.05,0.32
11.48,2.41,0.05,0.32
11.49,2.4,0.05,0.32
10.8,2.1,0.04,0.34
10.8,2.1,0.04,0.34
10.8,2.09,0.04,0.34
10.81,2.08,0.04,0.34
10.81,2.07,0.04,0.34
10.82,2.06,0.04,0.34
10.82,2.05,0.04,0.34
9.81,1.92,0.04,0.35
9.47,1.82,0.03,0.35
8.45,1.78,0.02,0.37
8.45,1.76,0.02,0.37
8.44,1.75,0.02,0.37
8.43,1.73,0.02,0.37
8.21,1.74,0.03,0.37
8.2,1.72,0.03,0.37
7.98,1.75,0.02,0.38
7.32,1.86,0.01,0.39
7.44,1.9,0.0,0.39
57.87,3.07,0.11,0.1
57.64,3.08,0.11,0.1
57.58,3.08,0.11,0.1
57.53,3.1,0.11,0.1
57.56,3.08,0.1,0.1
57.53,3.1,0.1,0.1
57.84,3.09,0.1,0.1
57.85,3.1,0.1,0.1
57.85,3.12,0.1,0.09
56.88,3.13,0.1,0.1
56.86,3.14,0.1,0.1
56.82,3.16,0.1,0.1
56.79,3.17,0.1,0.1
56.76,3.17,0.1,0.1
56.71,3.18,0.1,0.1
56.66,3.18,0.1,0.1
56.4,3.18,0.1,0.1
56.36,3.19,0.1,0.1
56.32,3.2,0.1,0.1
56.28,3.21,0.1,0.1
56.23,3.22,0.1,0.1
56.22,3.23,0.1,0.1
56.17,3.24,0.1,0.1
56.21,3.25,0.1,0.1
56.17,3.26,0.1,0.1
56.14,3.28,0.1,0.1
60.14,3.37,0.1,0.08
60.14,3.39,0.1,0.08
60.2,3.38,0.1,0.08
53.78,3.42,0.11,0.11
47.81,3.32,0.1,0.14
47.87,3.35,0.1,0.14
47.95,3.38,0.1,0.14
41.9,3.17,0.12,0.16
43.37,3.63,0.11,0.15
42.12,4.01,0.14,0.18
42.16,3.82,0.14,0.18
42.22,3.84,0.14,0.18
11.39,2.47,0.05,0.32
11.4,2.46,0.05,0.32
11.4,2.45,0.05,0.32
11.41,2.44,0.05,0.32
11.42,2.43,0.05,0.32
11.42,2.42,0.05,0.32
11.43,2.41,0.05,0.32
11.43,2.4,0.06,0.32
11.45,2.39,0.06,0.32
10.76,2.09,0.04,0.34
10.77,2.08,0.04,0.34
10.78,2.07,0.04,0.34
10.78,2.06,0.04,0.34
10.79,2.05,0.04,0.34
10.79,2.04,0.05,0.34
9.78,1.91,0.04,0.35
9.78,1.9,0.04,0.35
8.46,1.79,0.02,0.37
8.45,1.77,0.02,0.37
8.44,1.75,0.02,0.37
8.43,1.74,0.02,0.37
8.21,1.74,0.03,0.37
8.21,1.73,0.03,0.37
7.99,1.76,0.03,0.38
7.29,1.86,0.01,0.39
7.41,1.9,0.01,0.39
7.41,1.89,0.01,0.39
57.82,3.06,0.11,0.1
57.76,3.07,0.11,0.1
57.7,3.08,0.11,0.1
57.48,3.08,0.11,0.1
57.44,3.09,0.11,0.1
57.48,3.08,0.1,0.1
57.46,3.09,0.1,0.1
57.43,3.11,0.11,0.1
57.8,3.1,0.1,0.1
57.78,3.11,0.1,0.1
57.76,3.13,0.1,0.1
56.77,3.14,0.1,0.1
56.75,3.15,0.1,0.1
56.72,3.17,0.1,0.1
56.69,3.18,0.1,0.1
56.63,3.17,0.1,0.1
56.6,3.18,0.1,0.1
56.31,3.18,0.1,0.1
56.27,3.19,0.1,0.1
56.24,3.2,0.1,0.1
56.21,3.21,0.1,0.1
56.18,3.23,0.1,0.1
56.12,3.24,0.1,0.1
56.1,3.24,0.1,0.1
56.05,3.25,0.1,0.1
56.12,3.26,0.1,0.1
56.08,3.28,0.1,0.1
60.14,3.37,0.1,0.08
57.24,3.5,0.1,0.09
51.2,3.42,0.09,0.12
47.46,3.36,0.1,0.14
47.86,3.36,0.1,0.14
42.49,3.35,0.12,0.16
42.69,3.65,0.12,0.16
42.08,3.99,0.14,0.18
42.11,4.0,0.14,0.18
42.22,3.82,0.14,0.18
42.29,3.84,0.14,0.17
11.35,2.46,0.05,0.32
11.35,2.45,0.05,0.32
11.36,2.44,0.05,0.32
11.37,2.43,0.05,0.32
11.37,2.42,0.06,0.32
11.38,2.41,0.06,0.32
11.38,2.4,0.06,0.32
11.39,2.39,0.06,0.32
10.71,2.09,0.04,0.34
10.72,2.08,0.04,0.34
10.73,2.07,0.04,0.34
10.73,2.06,0.05,0.34
10.74,2.05,0.05,0.34
11.34,2.36,0.06,0.32
9.75,1.9,0.04,0.35
9.75,1.89,0.04,0.35
9.66,1.99,0.05,0.35
8.45,1.78,0.03,0.37
8.44,1.76,0.03,0.37
8.44,1.75,0.03,0.37
8.21,1.75,0.03,0.37
8.21,1.74,0.03,0.37
8.21,1.64,0.04,0.37
7.25,1.86,0.01,0.39
7.25,1.85,0.01,0.39
7.38,1.89,0.01,0.39
7.35,2.24,0.01,0.38
62.17,3.02,0.11,0.08
62.13,3.03,0.11,0.08
57.65,3.06,0.11,0.1
57.61,3.07,0.11,0.1
57.42,3.08,0.11,0.1
57.38,3.09,0.11,0.1
57.35,3.1,0.11,0.1
57.38,3.09,0.1,0.1
57.36,3.1,0.1,0.1
57.32,3.12,0.11,0.1
57.71,3.11,0.1,0.1
57.69,3.12,0.1,0.1
56.7,3.13,0.1,0.1
56.67,3.15,0.1,0.1
56.64,3.16,0.1,0.1
56.62,3.17,0.1,0.1
56.58,3.16,0.1,0.1
56.54,3.17,0.1,0.1
56.51,3.19,0.1,0.1
56.21,3.19,0.1,0.1
56.18,3.2,0.1,0.1
56.15,3.21,0.1,0.1
56.11,3.23,0.1,0.1
56.05,3.23,0.1,0.1
56.03,3.24,0.1,0.1
55.99,3.25,0.1,0.1
55.94,3.26,0.1,0.1
56.04,3.28,0.1,0.1
51.53,3.4,0.1,0.12
51.55,3.41,0.1,0.12
49.74,3.37,0.1,0.13
43.18,3.56,0.11,0.15
42.62,3.88,0.13,0.16
42.04,3.97,0.14,0.18
42.07,3.98,0.14,0.18
42.1,3.99,0.14,0.18
42.27,3.83,0.14,0.18
42.37,3.83,0.14,0.17
11.3,2.45,0.05,0.32
11.31,2.44,0.05,0.32
11.32,2.43,0.06,0.32
11.32,2.42,0.06,0.32
11.33,2.42,0.06,0.32
11.33,2.41,0.06,0.32
11.34,2.4,0.06,0.32
11.35,2.38,0.06,0.32
10.67,2.08,0.04,0.34
10.68,2.07,0.05,0.34
10.69,2.06,0.05,0.34
11.29,2.37,0.06,0.32
11.29,2.36,0.06,0.32
11.3,2.35,0.06,0.32
9.73,1.88,0.04,0.35
9.62,1.98,0.05,0.35
8.46,1.79,0.03,0.37
8.45,1.77,0.03,0.37
8.78,1.83,0.04,0.36
8.22,1.76,0.03,0.37
8.21,1.74,0.03,0.37
8.21,1.64,0.04,0.37
7.04,1.71,0.02,0.39
7.23,1.85,0.01,0.39
7.36,1.89,0.01,0.39
7.35,2.25,0.01,0.38
7.34,2.23,0.01,0.38
63.0,2.96,0.11,0.07
62.05,3.02,0.11,0.08
62.0,3.03,0.11,0.08
57.58,3.05,0.11,0.1
57.54,3.07,0.11,0.1
57.51,3.08,0.11,0.1
57.32,3.09,0.11,0.1
57.28,3.1,0.11,0.1
57.32,3.08,0.1,0.1
57.28,3.1,0.1,0.1
57.24,3.11,0.11,0.1
57.64,3.11,0.1,0.1
57.62,3.12,0.1,0.1
57.58,3.13,0.1,0.1
56.61,3.15,0.1,0.1
56.58,3.16,0.1,0.1
56.54,3.17,0.1,0.1
56.51,3.18,0.1,0.1
56.48,3.17,0.1,0.1
56.43,3.18,0.1,0.1
56.15,3.19,0.1,0.1
56.11,3.2,0.1,0.1
56.07,3.21,0.1,0.1
56.03,3.22,0.1,0.1
55.99,3.23,0.1,0.1
55.94,3.24,0.1,0.1
55.92,3.24,0.1,0.1
53.95,3.32,0.09,0.11
52.29,3.43,0.09,0.11
51.46,3.4,0.09,0.12
45.23,3.56,0.1,0.14
42.6,3.86,0.13,0.16
41.99,3.95,0.14,0.18
42.03,3.96,0.14,0.18
42.06,3.97,0.14,0.18
42.1,3.99,0.14,0.18
42.34,3.82,0.14,0.18
42.43,3.82,0.14,0.17
11.26,2.45,0.06,0.32
11.27,2.44,0.06,0.32
11.27,2.43,0.06,0.32
11.28,2.41,0.06,0.32
11.29,2.41,0.06,0.32
11.29,2.4,0.06,0.33
11.3,2.39,0.06,0.33
10.62,2.09,0.05,0.34
10.62,2.08,0.05,0.34
10.64,2.07,0.05,0.34
11.23,2.37,0.06,0.32
11.24,2.36,0.06,0.32
11.25,2.35,0.06,0.33
9.69,1.87,0.04,0.35
9.6,1.97,0.05,0.35
9.6,1.96,0.05,0.35
8.45,1.78,0.03,0.37
8.78,1.83,0.04,0.36
7.46,1.75,0.02,0.39
8.21,1.75,0.03,0.37
8.22,1.65,0.04,0.37
7.02,1.71,0.02,0.39
7.73,1.9,0.02,0.38
7.33,1.9,0.01,0.39
7.34,2.28,0.02,0.38
7.34,2.24,0.02,0.38
7.33,2.22,0.02,0.38
62.95,2.94,0.11,0.07
62.9,2.96,0.11,0.07
61.93,3.01,0.11,0.08
61.89,3.03,0.11,0.08
61.87,3.04,0.11,0.08
57.48,3.06,0.11,0.1
57.44,3.07,0.11,0.1
57.26,3.08,0.11,0.1
57.22,3.09,0.11,0.1
57.18,3.11,0.11,0.1
57.2,3.09,0.1,0.1
57.17,3.11,0.1,0.1
57.14,3.12,0.11,0.1
57.55,3.11,0.1,0.1
57.51,3.13,0.1,0.1
56.54,3.14,0.1,0.1
56.5,3.15,0.1,0.1
56.47,3.16,0.1,0.1
56.42,3.17,0.1,0.1
56.39,3.17,0.1,0.1
56.35,3.18,0.1,0.1
56.31,3.19,0.1,0.1
56.03,3.2,0.1,0.1
55.99,3.21,0.1,0.1
55.96,3.22,0.1,0.1
55.92,3.23,0.1,0.1
55.52,3.27,0.09,0.1
49.0,3.3,0.09,0.13
52.23,3.41,0.09,0.11
52.23,3.44,0.09,0.11
42.66,4.0,0.14,0.17
41.95,3.93,0.15,0.18
41.98,3.94,0.15,0.18
42.02,3.95,0.14,0.18
42.05,3.97,0.14,0.18
42.3,3.8,0.14,0.18
42.39,3.8,0.14,0.17
42.47,3.8,0.14,0.17
42.09,3.71,0.14,0.18
11.22,2.43,0.06,0.32
11.23,2.42,0.06,0.32
11.24,2.41,0.06,0.33
11.24,2.4,0.06,0.33
11.25,2.39,0.06,0.33
10.57,2.09,0.05,0.34
10.57,2.08,0.05,0.34
11.18,2.38,0.06,0.32
11.18,2.37,0.06,0.32
11.19,2.36,0.06,0.33
11.2,2.35,0.07,0.33
11.2,2.34,0.07,0.33
8.46,1.88,0.03,0.37
9.57,1.94,0.05,0.35
8.79,1.86,0.04,0.36
7.45,1.77,0.02,0.39
7.44,1.75,0.02,0.39
7.46,1.74,0.02,0.39
7.29,1.69,0.02,0.39
7.0,1.71,0.02,0.39
7.01,1.69,0.02,0.4
7.71,1.89,0.02,0.38
8.27,2.01,0.02,0.37
7.33,2.27,0.02,0.38
7.33,2.24,0.02,0.38
7.33,2.21,0.02,0.38
63.87,2.84,0.11,0.06
63.84,2.86,0.11,0.06
62.81,2.96,0.11,0.07
62.79,2.97,0.11,0.07
61.82,3.03,0.11,0.08
61.79,3.04,0.11,0.08
37.4,3.18,0.03,0.21
37.58,3.19,0.03,0.21
27.97,3.01,0.06,0.23
29.02,3.08,0.05,0.23
29.21,3.08,0.05,0.23
29.39,3.07,0.05,0.23
26.01,3.18,0.08,0.23
26.2,3.18,0.08,0.23
57.48,3.11,0.1,0.1
57.44,3.12,0.1,0.1
57.4,3.14,0.1,0.1
56.43,3.14,0.1,0.1
56.39,3.16,0.1,0.1
56.35,3.17,0.1,0.1
56.3,3.18,0.1,0.1
56.28,3.18,0.1,0.1
56.24,3.19,0.1,0.1
56.2,3.2,0.1,0.1
55.93,3.21,0.1,0.1
55.9,3.22,0.1,0.1
49.32,3.25,0.09,0.13
48.94,3.31,0.09,0.13
48.98,3.33,0.09,0.13
44.34,3.71,0.11,0.15
41.88,3.91,0.15,0.18
41.91,3.92,0.15,0.18
41.95,3.94,0.15,0.18
41.99,3.94,0.14,0.18
42.02,3.96,0.14,0.18
42.29,3.79,0.15,0.18
42.37,3.79,0.14,0.18
41.98,3.71,0.14,0.18
39.87,3.44,0.13,0.22
11.18,2.42,0.06,0.33
11.19,2.41,0.06,0.33
11.19,2.4,0.06,0.33
11.2,2.39,0.06,0.33
11.21,2.38,0.06,0.33
11.12,2.39,0.06,0.32
11.12,2.39,0.06,0.33
11.13,2.38,0.07,0.33
11.14,2.37,0.07,0.33
11.15,2.35,0.07,0.33
9.63,2.15,0.05,0.35
8.46,1.89,0.03,0.37
8.46,1.87,0.03,0.37
8.79,1.87,0.04,0.36
7.43,1.77,0.02,0.39
7.43,1.75,0.02,0.39
7.44,1.74,0.02,0.39
7.27,1.69,0.02,0.39
6.98,1.71,0.02,0.4
6.98,1.7,0.02,0.4
7.68,1.9,0.02,0.38
8.28,2.03,0.02,0.37
7.31,2.3,0.02,0.38
7.32,2.26,0.02,0.38
7.32,2.23,0.02,0.38
6.66,2.55,0.01,0.38
63.84,2.83,0.11,0.06
63.82,2.85,0.11,0.06
63.81,2.86,0.11,0.06
62.77,2.96,0.11,0.07
42.67,3.98,0.1,0.17
37.58,3.22,0.04,0.21
37.77,3.22,0.04,0.21
37.46,3.18,0.03,0.21
37.63,3.18,0.03,0.21
28.11,3.0,0.06,0.23
28.3,3.0,0.06,0.23
29.34,3.07,0.05,0.23
29.52,3.06,0.05,0.23
26.15,3.18,0.08,0.23
26.34,3.17,0.08,0.23
56.98,3.12,0.1,0.1
57.37,3.12,0.1,0.1
57.35,3.13,0.1,0.1
56.34,3.14,0.1,0.1
56.31,3.15,0.1,0.1
56.27,3.17,0.1,0.1
56.23,3.18,0.1,0.1
56.21,3.17,0.1,0.1
56.17,3.18,0.1,0.1
56.14,3.2,0.1,0.1
54.4,3.24,0.09,0.11
49.89,3.22,0.09,0.13
49.28,3.27,0.09,0.13
46.37,3.38,0.09,0.13
43.28,3.87,0.13,0.16
41.8,3.91,0.15,0.18
41.83,3.92,0.15,0.18
41.86,3.93,0.15,0.18
41.89,3.94,0.15,0.18
41.95,3.94,0.15,0.18
42.22,3.78,0.15,0.18
41.87,3.72,0.15,0.18
39.73,3.42,0.12,0.21
42.35,3.51,0.13,0.17
11.14,2.42,0.06,0.33
11.14,2.4,0.06,0.33
11.15,2.4,0.06,0.33
11.16,2.38,0.06,0.33
11.07,2.4,0.07,0.33
11.07,2.38,0.07,0.33
11.09,2.38,0.07,0.33
11.09,2.37,0.07,0.33
11.09,2.36,0.07,0.33
9.58,2.15,0.05,0.35
8.47,1.89,0.03,0.37
8.46,1.88,0.03,0.37
8.57,1.91,0.04,0.36
7.4,1.77,0.02,0.39
7.41,1.75,0.02,0.39
7.42,1.74,0.02,0.39
7.24,1.69,0.02,0.39
7.25,1.68,0.02,0.39
6.96,1.7,0.02,0.4
7.67,1.9,0.02,0.38
8.28,2.03,0.03,0.37
8.27,2.02,0.03,0.37
7.3,2.29,0.02,0.38
7.31,2.25,0.02,0.38
6.66,2.58,0.01,0.38
6.66,2.54,0.01,0.38
63.82,2.82,0.11,0.06
63.81,2.83,0.11,0.06
55.9,2.95,0.09,0.11
42.54,3.98,0.1,0.17
42.57,3.98,0.1,0.17
42.61,3.98,0.1,0.17
37.55,3.21,0.04,0.21
37.74,3.21,0.03,0.21
37.92,3.22,0.03,0.21
37.67,3.18,0.03,0.21
28.24,2.99,0.06,0.23
28.43,2.99,0.06,0.23
29.47,3.06,0.05,0.23
29.66,3.05,0.05,0.23
29.84,3.05,0.05,0.24
22.42,3.25,0.1,0.24
56.92,3.11,0.1,0.1
57.33,3.12,0.1,0.1
57.31,3.13,0.1,0.1
57.29,3.15,0.1,0.1
56.23,3.15,0.1,0.1
56.19,3.16,0.1,0.1
56.15,3.18,0.1,0.1
56.11,3.19,0.1,0.1
55.81,3.19,0.1,0.1
49.81,3.2,0.09,0.13
49.84,3.21,0.09,0.13
49.87,3.22,0.09,0.13
44.51,3.66,0.11,0.15
42.7,3.88,0.14,0.17
41.72,3.9,0.15,0.19
41.75,3.91,0.15,0.19
41.78,3.92,0.15,0.19
41.83,3.93,0.15,0.19
41.91,3.93,0.15,0.18
41.86,3.86,0.14,0.18
40.34,3.56,0.14,0.22
40.48,3.52,0.14,0.22
43.85,3.35,0.11,0.16
43.88,3.37,0.11,0.16
11.1,2.4,0.06,0.33
11.1,2.39,0.06,0.33
11.02,2.4,0.07,0.33
11.02,2.39,0.07,0.33
11.03,2.38,0.07,0.33
11.04,2.37,0.07,0.33
9.52,2.17,0.05,0.35
9.53,2.15,0.05,0.35
9.53,2.14,0.05,0.35
8.45,1.88,0.04,0.37
8.58,1.92,0.04,0.37
7.39,1.77,0.02,0.39
7.39,1.75,0.02,0.39
7.4,1.74,0.02,0.39
7.23,1.7,0.02,0.39
7.22,1.68,0.02,0.39
6.94,1.7,0.02,0.4
7.65,1.9,0.03,0.38
8.28,2.04,0.03,0.37
8.27,2.03,0.03,0.38
7.29,2.32,0.02,0.38
7.3,2.28,0.02,0.38
7.31,2.25,0.02,0.38
6.66,2.57,0.02,0.38
6.66,2.54,0.02,0.38
57.0,2.88,0.09,0.1
56.98,2.9,0.09,0.1
55.88,2.94,0.09,0.11
55.85,2.96,0.09,0.11
55.82,2.98,0.09,0.11
42.51,3.98,0.1,0.17
42.54,3.98,0.1,0.17
42.58,3.97,0.1,0.17
37.7,3.21,0.03,0.21
37.89,3.21,0.03,0.21
37.6,3.17,0.03,0.21
28.72,3.0,0.06,0.23
