DDH;ESTE_X;NORTE_Y;COTA_Z;Fe;S;Cu;MET;Al;Sc;Ca;Y;Sr;Mg;Ba;K;Litologia;Lito_code
ODH-101;189915.001;8439199.328;3663.838;30.168;3.988;0.150555;0.3764325;4.888;14.95;1.96;9.45;103.45;3.305;150.75;1.715;MG;5
ODH-101;189915.001;8439199.328;3660.838;43.545;3.16;0.11296;0.265015;3.06;9.25;1.475;4.2;59.7;2.54;140;1.4;MG;5
ODH-101;189915.001;8439199.328;3658.588;50.99;2.97;0.15316;0.16222;2.17;3.4;0.78;2.4;34.5;2.3;94;0.98;MG;5
ODH-101;189915.001;8439199.328;3657.088;53.74;5.03;0.14333;0.14079;1.98;0.25;0.57;2.8;44.3;1.82;156;0.84;MG;5
ODH-101;189915.001;8439199.328;3654.838;56.785;4.705;0.205885;0.120545;1.635;0.25;0.51;3.7;42.35;1.51;141;0.62;MG;5
ODH-101;189915.001;8439199.328;3651.838;54.15;4.54;0.18031;0.12757;1.89;0.575;0.82;3.25;53.7;1.795;145.5;0.815;MG;5
ODH-101;189915.001;8439199.328;3648.838;44.695;4.51;0.044115;0.14952;2.025;0.65;2.855;3.5;44.1;2.705;142;0.67;MG;5
ODH-101;189915.001;8439199.328;3645.838;49.675;3.485;0.101915;0.15397;1.74;0.625;2.81;3.8;47.5;1.745;131;0.59;MG;5
ODH-101;189915.001;8439199.328;3642.838;61.365;2.67;0.05515;0.11698;1.18;0.25;1.15;3.25;21.85;1.095;57.5;0.295;MG;5
ODH-101;189915.001;8439199.328;3639.838;45.71;2.365;0.06845;0.11991;2.125;0.475;2.935;4.2;27.05;3.205;81;1.31;MG;5
ODH-101;189915.001;8439199.328;3637.588;53.63;2.76;0.07315;0.10354;1.23;0.25;2.21;5.6;28.4;1.68;73;0.42;MG;5
ODH-101;189915.001;8439199.328;3635.338;57.632;2.15;0.073425;0.11818;1.052;0.25;1.96;6.45;16.275;1.385;44.75;0.278;MG;5
ODH-101;189915.001;8439199.328;3632.338;49.27;3.205;0.08914;0.12734;1.615;0.425;3.015;5.6;43.5;2.18;115.5;0.78;MG;5
ODH-101;189915.001;8439199.328;3629.338;52.44;3.48;0.103565;0.11779;1.38;0.25;2.89;6.65;35.9;1.82;88;0.63;MG;5
ODH-101;189915.001;8439199.328;3626.338;44.455;2.95;0.09011;0.141325;1.39;0.425;5.31;8.6;29.2;1.995;69.5;0.835;SK;6
ODH-101;189915.001;8439199.328;3623.338;44.99;1.775;0.065935;0.13191;1.28;1.25;5.97;12.1;33.8;1.685;78;0.59;SK;6
ODH-101;189915.001;8439199.328;3621.088;43.47;3.67;0.10004;0.13867;1.9;1.5;4.37;9.8;31.4;2.31;132;0.85;SK;6
ODH-101;189915.001;8439199.328;3619.288;37.82;2.64;0.10085;0.13434;1.99;1.5;7.21;10.5;61;1.97;163;1.22;SK;6
ODH-101;189915.001;8439199.328;3616.738;18.13;2.75;0.084045;0.2483;4;5.4;7.94;9.8;161.05;4;171;2.46;SK;6
ODH-101;189915.001;8439199.328;3613.738;10.51;0.64;0.02782;0.39676;6.24;14.1;9.81;12.7;566.9;4.2;196;1.16;SK;6
ODH-101;189915.001;8439199.328;3610.738;13.16;1.14;0.03059;0.25441;3.46;7.3;9.62;10.1;145.6;5.43;114;1.92;SK;6
ODH-101;189915.001;8439199.328;3607.738;5.43;0.34;0.0132;0.36764;6.59;8.9;6.13;23;268.7;3.92;304;2.05;INT;3
ODH-102;189913.3703;8439200.704;3672.33834;47.46;0.065;0.116085;0.209845;3.24;2.05;0.205;4.55;28.35;0.435;145.5;0.51;SK;6
ODH-102;189911.9508;8439202.281;3670.217019;57.51;0.04;0.126385;0.1107825;1.67;0.25;0.145;4.85;14.725;0.698;79.75;0.345;SK;6
ODH-102;189910.8508;8439203.502;3668.572996;54.53;0.02;0.1306;0.14085;2.38;1;0.23;6.7;25.2;0.72;99;0.56;SK;6
ODH-102;189909.7625;8439204.711;3666.946651;50.974;3.599;0.1007178;0.1918851;2.361;5.462;0.487;4.047;46.071;1.899;228.068;1.231;MG;5
ODH-102;189908.3549;8439206.274;3664.843008;34.215;3.1;0.09046;0.21201;3.655;5;1.69;6.25;103.8;3.34;394.5;2.38;MG;5
ODH-102;189907.2903;8439207.457;3663.252018;46.3;4.15;0.09711;0.14154;2.44;1.5;1.38;5.8;59.9;2.45;164;0.94;MG;5
ODH-102;189906.5806;8439208.245;3662.191358;44.7;3.48;0.11283;0.13967;2.53;1.1;1.07;3.6;43;2.75;240;1.14;MG;5
ODH-102;189905.516;8439209.427;3660.600367;54.825;3.865;0.132845;0.11467;1.655;0.25;1.025;4.1;46.45;1.67;195;0.62;MG;5
ODH-102;189904.4041;8439210.662;3658.938666;58.7;4.21;0.11986;0.12078;1.34;0.25;0.53;5.6;26;1.54;94;0.47;MG;5
ODH-102;189903.2923;8439211.897;3657.276965;49.99;1.065;0.05725;0.16597;1.96;0.625;0.62;6.05;39.55;2.36;122;0.815;MG;5
ODH-102;189901.8728;8439213.473;3655.155645;61.105;0.7;0.08011;0.070305;1.135;0.25;0.315;4.35;16.7;0.76;48.5;0.27;MG;5
ODH-102;189900.4534;8439215.05;3653.034325;56.805;3.425;0.45215;0.107975;2;0.25;0.28;5.15;15.05;1.11;52;0.295;MG;5
ODH-102;189899.0339;8439216.626;3650.913004;57.738;3.675;0.4725125;0.090165;1.28;0.25;1.012;5.5;13.15;1.08;105.25;0.22;MG;5
ODH-102;189897.6145;8439218.203;3648.791684;47.535;4.095;0.14234;0.10575;0.925;0.25;3.435;8.8;24.25;1.22;60.5;0.29;MG;5
ODH-102;189896.1951;8439219.779;3646.670364;53.55;4.15;0.1405;0.18225;1.43;0.25;1.755;5.9;20.25;1.91;46.5;0.365;MG;5
ODH-102;189895.1068;8439220.988;3645.044018;44.76;3.96;0.20599;0.254;2.11;0.9;3.51;5.5;30.4;2.3;77;0.76;MG;5
ODH-102;189894.338;8439221.842;3643.89497;37.11;2.97;0.07305;0.19998;2.51;2.6;4.35;7.3;54;3.22;274;1.47;MG;5
ODH-103;189817.762;8439014.825;3753.846;58.205;2.72;0.006825;0.092085;1.64;0.25;0.26;5.5;17.2;1.3;101;0.295;MG;5
ODH-103;189817.762;8439014.825;3749.846;48.665;0.01;0.004355;0.181505;2.1;1;0.69;11.8;26.85;1.455;96;0.675;MG;5
ODH-103;189817.762;8439014.825;3746.846;59.135;0.01;0.01517;0.11968;1.46;0.25;0.405;6.95;11.9;1.1;32;0.305;MG;5
ODH-103;189817.762;8439014.825;3743.846;62.6;0.01;0.012755;0.104895;1.195;0.25;0.32;4.3;10.6;0.965;25.5;0.24;MG;5
ODH-103;189817.762;8439014.825;3740.846;51.325;0.01;0.017055;0.089875;2.1;0.25;0.33;5.75;11;1.91;54.5;0.495;MG;5
ODH-103;189817.762;8439014.825;3737.846;60.035;0.015;0.012975;0.10587;1.32;0.25;0.195;3.55;8.55;1.27;30.5;0.31;MG;5
ODH-103;189817.762;8439014.825;3734.846;61.622;0.01;0.031455;0.091865;1.068;0.25;0.198;4.6;7.075;1.01;24.25;0.243;MG;5
ODH-103;189817.762;8439014.825;3731.846;64.215;0.025;0.026845;0.091935;0.815;0.25;0.45;5.75;7.25;0.645;22.5;0.18;MG;5
ODH-103;189817.762;8439014.825;3728.846;66.045;0.02;0.02348;0.06277;0.765;0.25;0.235;3.55;5.4;0.755;20.5;0.13;MG;5
ODH-103;189817.762;8439014.825;3725.846;65.4;0.02;0.015835;0.07303;0.715;0.25;0.15;2.85;5.1;0.705;20;0.15;MG;5
ODH-103;189817.762;8439014.825;3722.846;64.44;0.01;0.00707;0.076865;1.03;0.25;0.145;3.9;7.3;0.785;22;0.15;MG;5
ODH-103;189817.762;8439014.825;3719.846;62.155;0.01;0.00069;0.08455;1.21;0.25;0.215;5.6;12.35;0.865;24;0.205;MG;5
ODH-103;189817.762;8439014.825;3717.196;45.67;0.01;0.01533;0.10711;2.43;1.2;0.65;7.8;47.8;3.36;51;0.66;MG;5
ODH-103;189817.762;8439014.825;3714.646;66.065;1.125;0.075445;0.074625;0.875;0.25;0.09;4.1;5.6;0.38;26.5;0.105;MG;5
ODH-103;189817.762;8439014.825;3711.796;51.28;0.08;0.07271;0.1782;2.44;0.6;0.32;8.5;69;1.56;193;0.94;SK;6
ODH-103;189817.762;8439014.825;3708.896;28.3;0.08;0.01312;0.2246;4.68;3.7;0.74;11.7;139.3;3.22;478;2.91;SK;6
ODH-103;189817.762;8439014.825;3705.946;63.345;0.3;0.052055;0.06635;0.915;0.25;0.08;4.7;8.9;0.235;26.5;0.175;MG;5
ODH-103;189817.762;8439014.825;3703.696;62.89;1.4;0.09804;0.05886;1.065;0.25;0.08;4.2;7.5;0.345;26;0.2;MG;5
ODH-103;189817.762;8439014.825;3702.146;61.3;1.08;0.05312;0.0609;0.93;0.25;0.04;3.7;6.3;0.54;36;0.28;MG;5
ODH-103;189817.762;8439014.825;3700.621;49.56;1.41;0.13295;0.14363;2.5;1.9;0.07;17.8;53.9;0.48;216;1.5;MG;5
ODH-103;189817.762;8439014.825;3699.021;20.84;2.77;0.08965;0.33639;5.58;6.8;1.78;16.8;139.7;2.61;234;3.43;SK;6
ODH-103;189817.762;8439014.825;3695.996;7.08;0.73;0.01034;0.22386;4.41;6;8.39;12.1;249.2;1.81;394;4.58;INT;3
ODH-103;189817.762;8439014.825;3692.796;52.45;2.78;0.10114;0.0726;1.22;0.25;2.24;5;33.2;1.18;54;0.78;MG;5
ODH-103;189817.762;8439014.825;3690.296;7.18;2.98;0.00446;0.22679;4.38;6.2;9.94;14.3;134;3.6;199;3.26;SK;6
ODH-103;189817.762;8439014.825;3688.096;37.09;1.64;0.05922;0.09953;1.82;1;6.18;6.8;49.8;2.41;52;1.06;MG;5
ODH-103;189817.762;8439014.825;3686.196;10.24;1.65;0.04171;0.20325;4.91;5.7;6.34;11.8;413.1;3.35;393;3.6;SK;6
ODH-103;189817.762;8439014.825;3684.096;53.93;2.59;0.16507;0.06272;0.93;0.25;3.94;3.6;22.1;1.13;41;0.39;MG;5
ODH-103;189817.762;8439014.825;3681.496;12.5;1.31;0.04386;0.30308;5.18;7.2;6.2;11.4;251.2;4.94;405;4.36;SK;6
ODH-103;189817.762;8439014.825;3674.446;3.44;0.92;0.02582;0.54022;9.65;18.1;5.75;20.8;630.3;2.7;213;2.07;INT;3
ODH-103;189817.762;8439014.825;3666.946;6.65;1.45;0.04658;0.42661;7.04;10.3;4.89;16.5;365.3;4.92;314;2.74;SK;6
ODH-103;189817.762;8439014.825;3662.796;4.03;0.57;0.0226;0.46038;8.04;12.1;4.95;20.5;526.3;2.94;314;2.03;SK;6
ODH-103;189817.762;8439014.825;3659.346;45.211;1.85;0.0870546;0.1452068;1.905;0.738;4.127;7.275;54.393;1.764;73.143;0.671;MG;5
ODH-103;189817.762;8439014.825;3656.896;42.783;1.921;0.0467229;0.2078771;4.03;5.286;7.967;10.495;249.248;3.592;272.143;2.844;MG;5
ODH-103;189817.762;8439014.825;3654.346;51.327;3.268;0.1243875;0.1360025;1.672;0.575;2.965;5.375;53.425;1.858;111.5;0.888;MG;5
ODH-103;189817.762;8439014.825;3651.346;58.205;3.245;0.11708;0.098755;0.935;0.25;2.285;4.7;27;0.88;70;0.245;MG;5
ODH-103;189817.762;8439014.825;3649.146;43.57;3.05;0.12783;0.17562;2.12;0.25;4.86;6.4;36;1.86;69;0.81;MG;5
ODH-103;189817.762;8439014.825;3647.096;6.84;0.56;0.03435;0.52077;7.92;13.7;4.96;23.8;313.8;2.36;417;2.36;SK;6
ODH-104;189564.538;8439050.155;3736.486315;47.24;2.15;0.15021;0.14387;2.3;0.25;2.55;7.6;51.8;1.32;230;1.33;MG;5
ODH-104;189551.3963;8439064.75;3716.846424;10.63;0.47;0.03278;0.25516;6.22;8.2;5.19;17;199.3;2.13;768;4.04;INT;3
ODH-104;189549.6457;8439066.694;3714.230129;2.67;0.03;0.00317;0.42244;8.61;12.8;5.46;22;366.5;1.7;1050;4.06;INT;3
ODH-104;189547.8122;8439068.73;3711.49009;4.2;0.12;0.00673;0.39845;7.95;12.3;4.64;18.9;297.3;1.76;817;3.4;INT;3
ODH-104;189546.4519;8439070.241;3709.457158;3.67;0.05;0.00452;0.42897;8.58;12.6;4.19;18.7;333.9;1.54;844;4.24;INT;3
ODH-104;189545.1508;8439071.686;3707.512615;15.2;0.39;0.03474;0.1984;5.83;6.5;4.81;17.3;183.9;2.79;635;3.59;SK;6
ODH-104;189544.1453;8439072.803;3706.010013;58.97;2.97;0.09501;0.10113;1.28;0.25;1.72;4;28;0.69;128;0.66;MG;5
ODH-104;189543.0334;8439074.038;3704.348312;56.835;2.435;0.13836;0.07288;1.165;0.25;1.61;3.85;27.7;0.79;114.5;0.575;MG;5
ODH-104;189541.614;8439075.614;3702.226991;58.91;5.06;0.220735;0.06179;0.77;0.25;0.935;3.1;12.55;0.69;34.5;0.38;MG;5
ODH-104;189540.1946;8439077.191;3700.105671;60.54;2.94;0.11521;0.05304;0.81;0.25;0.76;2.6;12.2;0.65;43.5;0.375;MG;5
ODH-104;189538.7751;8439078.767;3697.984351;50.482;2.32;0.0849975;0.0804225;1.332;0.25;2.012;5.35;44.2;1.052;213;0.888;MG;5
ODH-104;189537.3557;8439080.344;3695.86303;56.04;2.75;0.11989;0.071335;1.065;0.25;1.31;3.7;29.05;0.835;151.5;0.64;MG;5
ODH-104;189535.9362;8439081.92;3693.74171;57.34;3.045;0.202925;0.07972;0.885;0.25;1.175;2.9;25.7;0.85;93.5;0.475;MG;5
ODH-104;189534.8716;8439083.102;3692.15072;57.32;3.88;0.23226;0.08348;0.99;0.25;1.09;3.6;29.9;0.9;136;0.56;MG;5
ODH-104;189534.0436;8439084.022;3690.913283;53.27;1.99;0.03783;0.08695;1.23;0.25;1.63;4.4;47.4;1.09;232;0.82;MG;5
ODH-104;189532.8608;8439085.336;3689.145516;32.125;1.725;0.044185;0.11361;2.655;1.525;4.55;8.2;111.4;2.61;318;2.155;MG;5
ODH-104;189531.4413;8439086.912;3687.024196;48.555;3.13;0.044285;0.10131;1.385;0.25;2.205;4.5;54.05;1.395;85;1.01;MG;5
ODH-104;189530.0219;8439088.489;3684.902875;43.26;3.28;0.094615;0.12622;2.04;0.25;2.64;6;123.1;1.725;112;1.615;MG;5
ODH-104;189528.6025;8439090.065;3682.781555;41.395;2.92;0.099875;0.06941;0.845;0.25;6.495;7;60.65;1.21;42;0.585;MG;5
ODH-104;189527.183;8439091.641;3680.660235;40.285;2.8;0.08201;0.073885;1.225;0.25;6.16;6.85;77.5;1.29;68;0.81;MG;5
ODH-104;189525.7636;8439093.218;3678.538914;33.19;2.57;0.062605;0.10378;1.785;1.475;8.065;8.4;123.65;1.53;99;1.42;MG;5
ODH-104;189524.3441;8439094.794;3676.417594;38.23;3.287;0.0895625;0.076075;1.17;0.25;8.152;6.9;84.7;0.972;54.25;0.785;MG;5
ODH-104;189523.315;8439095.937;3674.879637;45.27;3.33;0.09844;0.08145;1.22;0.25;4.89;8.5;65.8;1.32;47;0.47;MG;5
ODH-104;189522.2859;8439097.08;3673.341679;2.76;0.75;0.00689;0.21625;7.46;8.5;6.14;14.9;405.8;1.08;159;1.15;INT;3
ODH-106;189747.962;8439162.393;3760.998;55.465;0.03;0.021935;0.12039;1.885;0.25;0.555;3.8;10.65;1.785;44.5;0.425;MG;5
ODH-106;189747.962;8439162.393;3757.098;61.64;0.06;0.03979;0.08636;1.42;0.25;0.1;1.1;7;0.48;30;0.16;MG;5
ODH-106;189747.962;8439162.393;3755.598;66.85;0.03;0.02502;0.0634;0.91;0.25;0.07;1;6;0.22;41;0.12;MG;5
ODH-106;189747.962;8439162.393;3753.348;67.62;0.045;0.005365;0.0414;0.485;0.25;0.05;0.85;4;0.11;23.5;0.06;MG;5
ODH-106;189747.962;8439162.393;3750.348;66.85;0.36;0.015655;0.067155;0.485;0.25;0.08;1.3;14.15;0.135;31.5;0.235;MG;5
ODH-106;189747.962;8439162.393;3747.348;64.305;0.25;0.029305;0.06744;0.575;0.25;0.105;1.9;15.85;0.23;30;0.23;MG;5
ODH-106;189747.962;8439162.393;3744.348;65.64;0.13;0.021095;0.060285;0.56;0.25;0.085;1.7;5.75;0.115;35;0.12;MG;5
ODH-106;189747.962;8439162.393;3741.348;64.655;0.1;0.021005;0.058315;0.62;0.25;0.085;1.9;4.6;0.12;22;0.11;MG;5
ODH-106;189747.962;8439162.393;3738.348;60.825;0.672;0.0977925;0.0772075;0.95;0.25;0.072;2.375;4.85;0.222;30.25;0.173;MG;5
ODH-106;189747.962;8439162.393;3735.348;64.48;0.975;0.09826;0.0696;0.955;0.25;0.07;2.85;4;0.105;32;0.06;MG;5
ODH-106;189747.962;8439162.393;3732.348;64.16;0.855;0.090345;0.05355;0.805;0.25;0.07;2.3;4.25;0.28;22.5;0.125;MG;5
ODH-106;189747.962;8439162.393;3729.348;61.7;1.415;0.127035;0.05833;1.105;0.25;0.065;3.15;4.3;0.15;25.5;0.065;MG;5
ODH-106;189747.962;8439162.393;3726.348;63.755;0.635;0.01989;0.039545;0.465;0.25;0.055;2;3.15;0.1;20;0.19;MG;5
ODH-106;189747.962;8439162.393;3723.348;64.035;0.795;0.02192;0.044585;0.47;0.25;0.05;2.35;3.25;0.085;21;0.25;MG;5
ODH-106;189747.962;8439162.393;3720.348;63.155;2.52;0.08238;0.062655;0.885;0.25;0.07;3.3;4.95;0.14;21.5;0.19;MG;5
ODH-106;189747.962;8439162.393;3717.348;64.25;0.955;0.037945;0.051565;0.605;0.25;0.065;2.6;3.35;0.165;28.5;0.17;MG;5
ODH-106;189747.962;8439162.393;3714.348;63.41;1.32;0.07439;0.04021;1.05;0.25;0.07;2.05;5.8;0.23;27;0.325;MG;5
ODH-106;189747.962;8439162.393;3711.348;62.225;3.68;0.17215;0.054415;1.07;0.25;0.1;2.7;4.95;0.575;28;0.24;MG;5
ODH-106;189747.962;8439162.393;3708.348;62.387;4.908;0.1943075;0.0656475;0.98;0.25;0.14;4.225;4.725;0.575;23.25;0.205;MG;5
ODH-106;189747.962;8439162.393;3705.348;62.95;3.55;0.170695;0.062465;0.915;0.25;0.09;3.9;4.5;0.695;23.5;0.265;MG;5
ODH-106;189747.962;8439162.393;3702.348;64.275;3.69;0.21758;0.068645;0.77;0.25;0.14;4.5;4.65;0.475;22;0.255;MG;5
ODH-106;189747.962;8439162.393;3699.348;62;4.355;0.271265;0.0607;1.175;0.25;0.15;2.8;5;0.81;26.5;0.35;MG;5
ODH-106;189747.962;8439162.393;3696.348;62.57;3.755;0.264725;0.06435;1.265;0.25;0.155;3.2;6.2;0.685;30.5;0.24;MG;5
ODH-106;189747.962;8439162.393;3693.348;62.67;4.685;0.093405;0.08986;0.93;0.25;0.17;5.7;4.6;0.51;21.5;0.205;MG;5
ODH-106;189747.962;8439162.393;3690.348;61.855;4.58;0.037;0.091615;0.905;0.25;0.24;5.1;5.75;0.55;24.5;0.165;MG;5
ODH-106;189747.962;8439162.393;3687.348;35.785;3.35;0.0252;0.176505;4.075;3.375;1.755;9.2;115.1;0.675;80;0.42;MG;5
ODH-106;189747.962;8439162.393;3684.348;62.55;4.545;0.06006;0.074735;0.77;0.25;0.26;3.5;5.65;0.52;27;0.175;MG;5
ODH-106;189747.962;8439162.393;3681.348;63.038;4.038;0.041195;0.1032625;0.898;0.25;0.302;4.075;4.725;0.648;28.25;0.247;MG;5
ODH-106;189747.962;8439162.393;3678.348;62.03;4.165;0.050525;0.088145;0.775;0.25;0.525;2.6;5.45;0.485;22;0.16;MG;5
ODH-106;189747.962;8439162.393;3675.348;59.485;3.77;0.139895;0.07628;1.035;0.25;1.135;3.45;7.15;0.78;22.5;0.175;MG;5
ODH-106;189747.962;8439162.393;3672.348;54.55;3.745;0.12271;0.09426;1.465;0.25;2.115;4.25;16;1.06;30;0.295;MG;5
ODH-106;189747.962;8439162.393;3670.198;34.97;0.55;0.0155;0.18437;2.68;2.8;7.22;12.1;101.4;1.91;102;0.85;MG;5
ODH-106;189747.962;8439162.393;3668.098;11.58;0.89;0.02046;0.28203;6.01;7.7;4.73;12.6;125.5;2.65;84;0.73;SK;6
ODH-106;189747.962;8439162.393;3665.898;52.76;3.33;0.07158;0.08277;1.21;0.25;2.44;6;23.6;0.87;29;0.33;MG;5
ODH-106;189747.962;8439162.393;3663.648;61.05;3.54;0.0317;0.11008;0.86;0.25;0.3;4.6;5.4;0.66;25;0.22;MG;5
ODH-107;189512.857;8438821.863;3583.585;48.05;1.505;0.068155;0.10472;1.775;0.25;4.265;13;40.3;1.23;86.5;0.615;MG;5
ODH-107;189512.857;8438821.863;3541.235;51.315;3.295;0.14529;0.091965;1.425;0.375;3.31;8.5;25.9;1.14;55;0.415;MG;5
ODH-107;189512.857;8438821.863;3538.235;57.165;3.065;0.0901;0.081395;1.26;0.25;1.37;4.85;20.9;0.945;57.5;0.325;MG;5
ODH-107;189512.857;8438821.863;3535.235;59.145;3.825;0.15294;0.07302;1.075;0.25;1.135;5.15;10.6;0.9;31.5;0.21;MG;5
ODH-107;189512.857;8438821.863;3532.235;60.382;3.832;0.12017;0.0692025;1.01;0.25;1.338;4.925;11.575;0.82;28.25;0.155;MG;5
ODH-107;189512.857;8438821.863;3529.235;59.7;4.24;0.171845;0.06658;1.02;0.25;1.31;5.3;12.35;0.72;32;0.18;MG;5
ODH-107;189512.857;8438821.863;3526.235;60.58;3.765;0.11397;0.086435;1.145;0.25;1.39;6.05;14.1;0.785;29.5;0.21;MG;5
ODH-107;189512.857;8438821.863;3523.235;37.775;2.93;0.094275;0.148145;2.945;2.6;4.25;10.1;100.6;2.175;290;1.79;MG;5
ODH-107;189512.857;8438821.863;3520.235;45.105;2.78;0.080425;0.112405;1.92;0.825;5.22;7.85;119.8;1.605;116;1.12;MG;5
ODH-107;189512.857;8438821.863;3517.235;43.69;3.145;0.08526;0.126505;2.305;1.2;4.405;8.05;157.2;1.66;150.5;1.53;MG;5
ODH-107;189512.857;8438821.863;3514.235;51.86;4.525;0.15107;0.112915;1.71;0.875;2.645;6.15;95.95;1.35;91.5;0.995;MG;5
ODH-107;189512.857;8438821.863;3511.235;52.865;4.99;0.113345;0.08225;1.435;0.25;2.845;6.65;68.75;1.14;66.5;0.73;MG;5
ODH-107;189512.857;8438821.863;3508.235;42.125;10.4;0.08347;0.11475;2;0.575;4.08;8.45;91.6;1.735;117.5;1.175;MG;5
ODH-107;189512.857;8438821.863;3505.235;37.24;14.25;0.091895;0.134115;2.28;1.375;4.485;6.95;79;2.085;98.5;1.41;MG;5
ODH-107;189512.857;8438821.863;3502.235;36.308;8.732;0.0814325;0.1305975;2.29;1.675;4.592;6.825;53.8;2.722;137;1.69;MG;5
ODH-107;189512.857;8438821.863;3499.835;33.28;12.2;0.07087;0.0911;1.69;0.7;6.89;6.6;52.8;2.33;80;1.14;MG;5
ODH-107;189512.857;8438821.863;3497.335;9.29;6.93;0.06811;0.25839;5.76;8.2;8.71;14.4;273.4;1.7;357;2.9;SK;6
ODH-107;189512.857;8438821.863;3494.235;36.8;7.5;0.053775;0.136365;2.53;1.925;4.955;6.95;100.3;1.98;115.5;1.415;MG;5
ODH-107;189512.857;8438821.863;3491.235;41.5;4.895;0.080325;0.092265;1.575;0.575;5.665;6.3;67.8;1.335;77.5;0.8;MG;5
ODH-107;189512.857;8438821.863;3488.235;32.055;11.15;0.075865;0.121785;2.11;1.5;7.095;7.85;111.65;1.575;103.5;1.23;MG;5
ODH-107;189512.857;8438821.863;3485.235;51.405;7.565;0.09808;0.061435;0.715;0.25;3.68;5.4;20.2;0.99;23;0.17;MG;5
ODH-107;189512.857;8438821.863;3482.235;50.225;5.055;0.094155;0.074435;0.94;0.25;4.36;7.1;61.6;0.735;105;0.43;MG;5
ODH-107;189512.857;8438821.863;3479.235;58.46;4.11;0.10864;0.06219;0.79;0.25;2.905;5.7;22.4;0.78;20.5;0.05;MG;5
ODH-107;189512.857;8438821.863;3476.235;56.65;3.815;0.1016;0.056695;0.75;0.25;2.735;7.95;20.5;0.82;22;0.06;MG;5
ODH-107;189512.857;8438821.863;3473.235;53.132;5.885;0.086645;0.0754125;0.978;0.25;2.935;7.425;20.925;1.095;35.5;0.128;MG;5
ODH-107;189512.857;8438821.863;3470.235;53.105;4.405;0.10764;0.062335;0.67;0.25;3.395;8.05;21;0.81;19;0.045;MG;5
ODH-107;189512.857;8438821.863;3467.235;49.96;7.795;0.086055;0.05796;0.76;0.25;4.615;7.35;25.15;0.755;29.5;0.04;MG;5
ODH-107;189512.857;8438821.863;3464.235;57.35;4.295;0.111525;0.06713;0.875;0.25;2.88;6.9;18.85;0.84;22;0.075;MG;5
ODH-107;189512.857;8438821.863;3461.235;51.565;4.445;0.108805;0.080095;1.08;0.25;3.535;6.8;22.7;1.41;43.5;0.41;MG;5
ODH-107;189512.857;8438821.863;3458.235;54.075;3.995;0.107325;0.06557;0.755;0.25;2.69;8.75;19.4;0.95;20.5;0.07;MG;5
ODH-107;189512.857;8438821.863;3455.235;52.265;3.955;0.094235;0.05955;0.78;0.25;3.74;8.55;24.45;0.95;20.5;0.1;MG;5
ODH-107;189512.857;8438821.863;3452.235;51.275;2.69;0.05665;0.05778;0.735;0.25;4.2;6.45;23.15;0.9;20;0.125;MG;5
ODH-107;189512.857;8438821.863;3449.235;49.045;4.935;0.109885;0.059935;0.58;0.25;3.57;7.15;26.8;0.97;20;0.095;MG;5
ODH-107;189512.857;8438821.863;3446.235;52.03;3.995;0.101905;0.079845;0.905;0.25;2.81;6.25;20.95;1.335;28.5;0.245;MG;5
ODH-107;189512.857;8438821.863;3443.235;52.118;4.233;0.110525;0.0747125;0.882;0.25;3.092;5.1;28.325;1.272;26.25;0.262;MG;5
ODH-107;189512.857;8438821.863;3440.235;52.7;4.01;0.08841;0.082655;1.18;0.25;2.275;5.05;24.75;1.78;60;0.69;MG;5
ODH-107;189512.857;8438821.863;3437.235;49;4.33;0.106195;0.095755;1.45;0.25;4.76;9.3;63.3;1.09;67;0.585;MG;5
ODH-107;189512.857;8438821.863;3434.235;53.17;3.075;0.08598;0.095545;1.455;0.25;3.13;6.7;37.9;1.14;52.5;0.535;MG;5
ODH-107;189512.857;8438821.863;3431.235;55.065;3.16;0.090065;0.06965;1.08;0.25;3.43;7.35;31.35;0.85;34.5;0.285;MG;5
ODH-107;189512.857;8438821.863;3428.235;56.395;4.155;0.117275;0.07805;1.14;0.25;2.84;6.75;27;0.905;32.5;0.355;MG;5
ODH-107;189512.857;8438821.863;3425.235;52.04;3.31;0.096885;0.08742;1.79;0.25;3.11;7.2;50.4;1.3;71.5;0.845;MG;5
ODH-107;189512.857;8438821.863;3422.235;56.27;4.285;0.13526;0.07862;1.01;0.25;2.555;5.05;19.65;1.005;26;0.255;MG;5
ODH-107;189512.857;8438821.863;3419.235;59.825;3.7;0.119425;0.08055;0.985;0.25;1.6;3.95;14.1;0.75;22.5;0.15;MG;5
ODH-107;189512.857;8438821.863;3416.235;61.345;3.827;0.11942;0.095775;0.788;0.25;1.86;4.15;13.5;0.607;18.75;0.088;MG;5
ODH-107;189512.857;8438821.863;3413.235;60.06;3.455;0.094965;0.06881;0.8;0.25;2.025;4.25;15;0.735;19;0.17;MG;5
ODH-107;189512.857;8438821.863;3410.235;56.915;3.175;0.0891;0.07429;1.14;0.25;2.14;6.2;25.3;1.11;29.5;0.32;MG;5
ODH-107;189512.857;8438821.863;3407.235;56.31;4.38;0.06534;0.069625;0.84;0.25;2.72;7.35;22.3;0.825;22;0.295;MG;5
ODH-107;189512.857;8438821.863;3404.235;55.55;3.765;0.079395;0.08066;0.985;0.25;2.21;4.8;20.35;1.345;28;0.54;MG;5
