DDH;From;To;Fe;S;Cu;MET Total;Litologia;AI;DG;;;
ODH-01;117.75;119.25;58.86;5.4;0.02673;1499.5;MG;1.5;;;;
ODH-01;119.25;120.75;58.81;4.86;0.02423;1553.6;MG;1.5;;;;
ODH-01;120.75;122.25;59.7;5.25;0.06877;1499.8;MG;1.5;;;;
ODH-01;122.25;123.75;60.08;2.4;0.03638;1166.6;MG;1.5;;;;
ODH-01;123.75;125.25;58.81;3.4;0.07053;1024.9;MG;1.5;;;;
ODH-01;125.25;126.75;61.02;2.87;0.06369;1063.7;MG;1.5;;;;
ODH-01;126.75;128.25;61.59;2.67;0.09672;1155.4;MG;1.5;;;;
ODH-01;128.25;129.75;57.67;3.6;0.06874;1355.1;MG;1.5;;;;
ODH-01;129.75;131.25;56.12;4.44;0.05702;1581.2;MG;1.5;;;;
ODH-01;131.25;132.9;53.82;2.3;0.09134;1219.2;MG;1.65;;;;
ODH-01;132.9;134.4;25.79;1.59;0.03423;2361.4;INT;1.5;;;;
ODH-01;134.4;136.05;3;0.09;0.00848;3335.8;INT;1.65;;;;
ODH-01;136.05;142.35;4.09;0.12;0.00591;3136.2;FLL;6.3;;;;
ODH-01;142.35;147.25;-1;-1;-1;-1;INT;4.9;;;;
ODH-02;0;1.4;31.89;0.1;0.04569;3814.2;SL;1.4;;;;
ODH-02;1.4;3;62.86;0.12;0.03516;755.1;MG;1.6;;;;
ODH-02;3;4.3;62.24;0.13;0.06046;1133.6;MG;1.3;;;;
ODH-02;4.3;5.57;36.19;0.22;0.25186;2097;MG;1.27;;;;
ODH-02;5.57;7.65;57.4;0.05;0.09665;1053.5;MG;2.08;;;;
ODH-02;7.65;9.15;33.97;0.01;0.00407;2644.8;MG;1.5;;;;
ODH-02;9.15;10.65;42.65;0.01;0.03481;2056;MG;1.5;;;;
ODH-02;10.65;12.15;43.59;0.01;0.02334;1914.4;MG;1.5;;;;
ODH-02;12.15;13.65;33.88;0.02;0.02635;1687.7;MG;1.5;;;;
ODH-02;13.65;15.15;47.41;0.03;0.09127;1407.2;MG;1.5;;;;
ODH-02;15.15;16.65;45.58;0.02;0.11255;1298;FLL;1.5;;;;
ODH-02;16.65;18.15;36.82;0.01;0.04517;1812.5;FLL;1.5;;;;
ODH-02;18.15;20.05;37.38;0.02;0.03297;1374.1;FLL;1.9;;;;
ODH-02;20.05;21.55;56.51;0.01;0.06487;834.8;MG;1.5;;;;
ODH-02;21.55;23.05;58.51;0.01;0.08139;779.2;MG;1.5;;;;
ODH-02;23.05;24.55;57.12;0.02;0.08643;818.8;MG;1.5;;;;
ODH-02;24.55;26.05;61.18;0.01;0.04958;729.9;MG;1.5;;;;
ODH-02;26.05;27.55;57.89;0.005;0.03905;987.7;MG;1.5;;;;
ODH-02;27.55;29.05;53.54;0.02;0.054;999;MG;1.5;;;;
ODH-02;29.05;30.55;50.91;0.01;0.0202;1268.8;MG;1.5;;;;
ODH-02;30.55;32.05;59.56;0.07;0.06727;1089.2;MG;1.5;;;;
ODH-02;32.05;33.55;59;0.28;0.06262;1058.9;MG;1.5;;;;
ODH-02;33.55;35.05;51.79;0.03;0.11759;1399;MG;1.5;;;;
ODH-02;35.05;36.55;58.08;0.02;0.11012;1009.5;MG;1.5;;;;
ODH-02;36.55;38.05;67.14;0.04;0.09481;925.2;MG;1.5;;;;
ODH-02;38.05;39.55;63.13;0.02;0.0939;1141.7;MG;1.5;;;;
ODH-02;39.55;41.05;59.78;0.05;0.10843;861.8;MG;1.5;;;;
ODH-02;41.05;42.55;54.64;0.07;0.03716;956.9;MG;1.5;;;;
ODH-02;42.55;44.05;61.45;0.12;0.0109;574.7;MG;1.5;;;;
ODH-02;44.05;45.55;61.03;0.02;0.00598;501.6;MG;1.5;;;;
ODH-02;45.55;47.05;51.59;0.14;0.0241;788.2;FLL;1.5;;;;
ODH-02;47.05;48.55;46.27;0.02;0.04617;1181.2;FLL;1.5;;;;
ODH-02;48.55;50.05;36.29;0.4;0.04818;1119.2;FLL;1.5;;;;
ODH-02;50.05;51.4;32.54;1.19;0.08098;1524.7;FLL;1.35;;;;
ODH-02;51.4;52.9;4.65;0.01;0.02278;1323.5;INT;1.5;;;;
ODH-02;52.9;68.3;-1;-1;-1;-1;INT;15.4;;;;
ODH-03;0;1.5;59.2;0.03;0.03375;823.9;SL;1.5;;;;
ODH-03;1.5;3;59.49;0.23;0.05078;938.3;MG;1.5;;;;
ODH-03;3;4.5;46.15;0.02;0.01949;1097;MG;1.5;;;;
ODH-03;4.5;6;37.6;0.02;0.00903;1267;MG;1.5;;;;
ODH-03;6;7.5;59.94;0.02;0.00964;1270.6;MG;1.5;;;;
ODH-03;7.5;9;35.36;0.02;0.02741;1160.3;MG;1.5;;;;
ODH-03;9;10.5;49.48;0.02;0.02712;1107.1;MG;1.5;;;;
ODH-03;10.5;12;45.32;0.02;0.09497;1283.1;MG;1.5;;;;
ODH-03;12;13.5;66.6;0.3;0.01329;515.3;MG;1.5;;;;
ODH-03;13.5;15;66.64;0.2;0.04308;606.2;MG;1.5;;;;
ODH-03;15;16.5;66.16;0.11;0.04915;758.7;MG;1.5;;;;
ODH-03;16.5;18;63.17;0.4;0.08124;835.8;SK;1.5;;;;
ODH-03;18;19.4;34.6;0.1;0.04829;1591.8;SK;1.4;;;;
ODH-03;19.4;21;54.64;0.16;0.01497;1100;SK;1.6;;;;
ODH-03;21;23.5;31.22;0.02;0.04994;1362.9;SK;2.5;;;;
ODH-03;23.5;26;24.18;0.02;0.1376;1311.8;FLL;2.5;;;;
ODH-03;26;27.5;49.82;0.13;0.9069;927.7;FLL;1.5;;;;
ODH-03;27.5;29;62.16;0.07;0.20362;720.4;MG;1.5;;;;
ODH-03;29;30.5;66.82;0.06;0.17547;798.4;MG;1.5;;;;
ODH-03;30.5;32;61.43;0.07;0.21531;836.3;MG;1.5;;;;
ODH-03;32;33.5;55.64;0.02;0.27151;1115.1;MG;1.5;;;;
ODH-03;33.5;35;33.56;0.02;0.14933;1421;MG;1.5;;;;
ODH-03;35;36.5;51.41;0.2;0.08096;1495.3;MG;1.5;;;;
ODH-03;36.5;38;61.58;0.22;0.05505;727.5;MG;1.5;;;;
ODH-03;38;39.5;57.36;0.19;0.0525;856.4;MG;1.5;;;;
ODH-03;39.5;41;60.19;0.17;0.06179;746.6;MG;1.5;;;;
ODH-03;41;42.5;38.98;2.14;0.13364;1634.9;MG;1.5;;;;
ODH-03;42.5;44;50.91;3.5;0.14226;1344.5;MG;1.5;;;;
ODH-03;44;45.5;62.49;3.05;0.17158;1052.4;MG;1.5;;;;
ODH-03;45.5;47;63;2.77;0.1307;1030.3;MG;1.5;;;;
ODH-03;47;48.5;62.18;0.4;0.05625;941.6;MG;1.5;;;;
ODH-03;48.5;50;50.08;0.06;0.09258;1113.2;MG;1.5;;;;
ODH-03;50;51.5;43.12;0.02;0.05941;1402.6;MG;1.5;;;;
ODH-03;51.5;53.2;19.33;0.11;0.01193;1342.5;MG;1.7;;;;
ODH-03;53.2;54.7;57.17;0.26;0.002;706.1;MG;1.5;;;;
ODH-03;54.7;56.2;58.84;0.27;0.05225;803.1;MG;1.5;;;;
ODH-03;56.2;57.3;63.25;0.15;0.03008;669.9;MG;1.1;;;;
ODH-03;57.3;58.8;43.56;0.77;0.06948;1261.6;MG;1.5;;;;
ODH-03;58.8;60.3;57.94;0.41;0.02438;709.9;MG;1.5;;;;
ODH-03;60.3;61.8;58.67;0.65;0.02606;680.6;MG;1.5;;;;
ODH-03;61.8;63;44.33;1.45;0.06916;992.4;MG;1.2;;;;
ODH-03;63;64.5;65.62;0.18;0.0503;605.2;MG;1.5;;;;
ODH-03;64.5;65.9;60.63;0.43;0.08541;823.4;MG;1.4;;;;
ODH-03;65.9;67.4;61.8;0.3;0.03806;653.2;MG;1.5;;;;
ODH-03;67.4;68.9;62.18;0.05;0.04041;768.5;MG;1.5;;;;
ODH-03;68.9;70.4;62.59;0.05;0.03827;696.1;MG;1.5;;;;
